comment_id,content,created_at,user_name,like_count,sentiment
5166674392648404,一个拿患者生命开玩笑，一个拿学术当儿戏，绝配！,Thu May 15 21:10:30 +0800 2025,最全体育热点,780,1
5166674166153488,感谢谷医生→_→,Thu May 15 21:09:35 +0800 2025,小鬼说球,499,2
5166680050502367,这事处理的还算及时,Thu May 15 21:32:59 +0800 2025,青虫YN,94,2
5166674252662076,建议这俩人狠狠的锁死[爱你],Thu May 15 21:09:57 +0800 2025,体育相册,147,0
5166676500815907,这女博主的关系人员和领导等人怎么没动静啊，是不是不喜欢露面啊,Thu May 15 21:18:53 +0800 2025,L林92361,175,2
5166680679910759,董某的老师不追责吗？4+4还有必要完善？,Thu May 15 21:35:29 +0800 2025,赵小鱼好运连连,146,2
5166678451421634,医德和诚信必须焊死[666][666][666],Thu May 15 21:26:37 +0800 2025,远处守护你,22,0
5166680373991340,那个护士不处理吗,Thu May 15 21:34:16 +0800 2025,小迷糊丫1205,18,2
5166678230438093,这样可以定重婚罪了，要坐牢！,Thu May 15 21:25:45 +0800 2025,m天若有情y,21,2
5166676209044060,办了一个董袭莹算什么？根源没有解决，还有千千万万个董袭莹在行医，还有千千万万个董袭莹在前赴后继。,Thu May 15 21:17:43 +0800 2025,小夏32里了,41,1
5166700280415428,手术刀凭什么不稳 [允悲],Thu May 15 22:53:22 +0800 2025,猫爪小鱼Ode_,3,2
5166680125736322,这是永久封杀,Thu May 15 21:33:17 +0800 2025,貔貅视点,9,2
5166681140763567,肖飞带了多少小三回老家见父母了，他父母这么开放的吗？？,Thu May 15 21:37:19 +0800 2025,Jimmy的日记簿,51,2
5166681140763567,肖飞带了多少小三回老家见父母了，他父母这么开放的吗？？,Thu May 15 21:37:19 +0800 2025,Jimmy的日记簿,51,1
